time,open,high,low,close,tick_volume,spread,real_volume,mma_20
2020-03-26,74956.0,78846.0,74923.0,77710.0,2922993,0,1276642700,
2020-03-27,77708.0,77708.0,73057.0,73429.0,2332573,0,1030616300,
2020-03-30,73431.0,75430.0,73184.0,74639.0,4013262,0,1806431400,
2020-03-31,74629.0,75511.0,72385.0,73020.0,2292416,0,1116875800,
2020-04-01,73011.0,73011.0,69569.0,70967.0,2454909,0,1009340700,
2020-04-02,70969.0,73861.0,70957.0,72253.0,2201485,0,1054012300,
2020-04-03,72241.0,72241.0,67802.0,69538.0,2380616,0,1041127700,
2020-04-06,69556.0,75260.0,69556.0,74073.0,1996020,0,970704300,
2020-04-07,74078.0,79855.0,74078.0,76358.0,2511389,0,1128621700,
2020-04-08,76335.0,79058.0,76115.0,78625.0,2064389,0,1020629300,
2020-04-09,78640.0,80428.0,77457.0,77682.0,2266751,0,1074852400,
2020-04-13,77682.0,78836.0,76405.0,78836.0,1707194,0,764743400,
2020-04-14,78862.0,81668.0,78862.0,79918.0,6007396,0,2577943800,
2020-04-15,79911.0,80035.0,77546.0,78831.0,1990161,0,976298400,
2020-04-16,78837.0,80167.0,77452.0,77812.0,2011454,0,902664900,
2020-04-17,77817.0,79846.0,77754.0,78990.0,1825297,0,831613100,
2020-04-20,78989.0,80106.0,76943.0,78973.0,1869083,0,887436900,
2020-04-22,78973.0,81184.0,78973.0,80687.0,2118685,0,983883700,
2020-04-23,80690.0,81934.0,78622.0,79673.0,2288796,0,1082235200,
2020-04-24,79667.0,79667.0,72041.0,75331.0,3865497,0,1653888000,76367.25
2020-04-27,75334.0,78563.0,75327.0,78239.0,2148667,0,1065568200,76393.7
2020-04-28,78243.0,81427.0,78243.0,81312.0,2354755,0,1294352100,76787.85
2020-04-29,81313.0,83598.0,81313.0,83171.0,2223539,0,1171925300,77214.45
2020-04-30,83139.0,83155.0,80168.0,80506.0,2121235,0,1180251200,77588.75
2020-05-04,80501.0,80502.0,77640.0,78876.0,4172627,0,1757001900,77984.2
2020-05-05,78887.0,81066.0,78886.0,79471.0,5087309,0,2746386700,78345.1
2020-05-06,79473.0,79996.0,78056.0,79064.0,1962162,0,977574400,78821.4
2020-05-07,79072.0,80061.0,78061.0,78119.0,3047928,0,1381420100,79023.7
2020-05-08,78152.0,80557.0,78152.0,80263.0,1969099,0,1075394800,79218.95
2020-05-11,80253.0,80723.0,78994.0,79065.0,2026968,0,995445100,79240.95
2020-05-12,79062.0,80344.0,77872.0,77872.0,2134682,0,1024475000,79250.45
2020-05-13,77877.0,78911.0,77152.0,77772.0,32790212,0,16206934800,79197.25
2020-05-14,77770.0,79011.0,75697.0,79011.0,2601059,0,1381743900,79151.9
2020-05-15,79011.0,79538.0,77426.0,77557.0,2190082,0,1175890200,79088.2
2020-05-18,77576.0,81420.0,77571.0,81194.0,2258249,0,1152797100,79257.3
2020-05-19,81197.0,82175.0,80647.0,80742.0,2247608,0,1073824200,79344.9
2020-05-20,80747.0,82290.0,80740.0,81319.0,2019341,0,952193400,79462.2
2020-05-21,81317.0,83309.0,81317.0,83027.0,2447460,0,1142893500,79579.2
2020-05-22,83027.0,83027.0,81669.0,82173.0,1883518,0,928049300,79704.2
